title,price,rating,colors,size,gender,timestamp
Unknown Product,$100.00,⭐ Invalid Rating / 5,5 Colors,M,Men,2025-04-29T17:41:12.337991
T-shirt 2,$102.15,⭐ 3.9 / 5,3 Colors,M,Women,2025-04-29T17:41:12.337991
Hoodie 3,$496.88,⭐ 4.8 / 5,3 Colors,L,Unisex,2025-04-29T17:41:12.338991
Pants 4,$467.31,⭐ 3.3 / 5,3 Colors,XL,Men,2025-04-29T17:41:12.339991
Outerwear 5,$321.59,⭐ 3.5 / 5,3 Colors,XXL,Women,2025-04-29T17:41:12.339991
Jacket 6,$153.37,⭐ 3.3 / 5,3 Colors,S,Unisex,2025-04-29T17:41:12.340991
Crewneck 7,$430.75,⭐ 4.3 / 5,3 Colors,M,Men,2025-04-29T17:41:12.341991
T-shirt 8,$487.66,⭐ 3.1 / 5,3 Colors,L,Women,2025-04-29T17:41:12.341991
Hoodie 9,$248.26,⭐ 3.2 / 5,3 Colors,XL,Unisex,2025-04-29T17:41:12.342991
Pants 10,$193.76,⭐ 4.2 / 5,3 Colors,XXL,Men,2025-04-29T17:41:12.343991
Unknown Product,$100.00,⭐ Invalid Rating / 5,5 Colors,M,Men,2025-04-29T17:41:12.343991
Jacket 12,$532.99,⭐ 3.9 / 5,3 Colors,M,Unisex,2025-04-29T17:41:12.344991
Crewneck 13,$340.45,⭐ 3.2 / 5,3 Colors,L,Men,2025-04-29T17:41:12.345991
T-shirt 14,$203.05,⭐ 3.8 / 5,3 Colors,XL,Women,2025-04-29T17:41:12.345991
Hoodie 15,$136.51,⭐ 3.6 / 5,3 Colors,XXL,Unisex,2025-04-29T17:41:12.346991
Pants 16,Price Unavailable,Not Rated,8 Colors,S,Men,2025-04-29T17:41:12.347991
Outerwear 17,$52.60,⭐ 3.8 / 5,3 Colors,M,Women,2025-04-29T17:41:12.348991
Jacket 18,$343.75,⭐ 3.8 / 5,3 Colors,L,Unisex,2025-04-29T17:41:12.348991
Crewneck 19,$81.81,⭐ 3.6 / 5,3 Colors,XL,Men,2025-04-29T17:41:12.349991
T-shirt 20,$82.85,⭐ 3.4 / 5,3 Colors,XXL,Women,2025-04-29T17:41:12.350991
Unknown Product,$100.00,⭐ Invalid Rating / 5,5 Colors,M,Men,2025-04-29T17:41:13.744446
Pants 22,$269.98,⭐ 4.9 / 5,3 Colors,M,Men,2025-04-29T17:41:13.745446
Outerwear 23,$290.99,⭐ 3.7 / 5,3 Colors,L,Women,2025-04-29T17:41:13.745446
